City,Country,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed (mph),Date
Ushuaia,AR,-54.8,-68.3,29.86,100,90,17.27,1622253847
Pangnirtung,CA,66.1451,-65.7125,21.13,92,55,5.7,1622254101
Punta Arenas,CL,-53.15,-70.9167,35.71,75,20,21.81,1622254101
George Town,MY,5.4112,100.3354,85.95,77,20,1.01,1622254101
Rome,US,43.2128,-75.4557,46.26,92,90,0.0,1622254102
Vaini,TO,-21.2,-175.2,77.16,78,75,2.3,1622254102
Rikitea,PF,-23.1203,-134.9692,76.78,75,77,20.51,1622253841
Olafsvik,IS,64.8945,-23.7142,47.44,87,100,32.88,1622254102
Alice Springs,AU,-23.7,133.8833,58.55,47,0,18.25,1622253860
Bengkulu,ID,-3.8004,102.2655,75.04,94,100,3.4,1622254102
Clyde River,CA,70.4692,-68.5914,23.7,87,100,2.39,1622253959
Kraśnik,PL,50.9236,22.2271,51.67,96,100,6.31,1622254103
Sur,OM,22.5667,59.5289,87.53,43,48,3.6,1622254103
Yellowknife,CA,62.456,-114.3525,57.56,41,7,3.0,1622254103
Bredasdorp,ZA,-34.5322,20.0403,58.28,88,7,9.08,1622254104
Aklavik,CA,68.2191,-135.0107,35.24,61,100,16.24,1622254104
Dali,CN,25.7,100.1833,72.95,57,68,5.59,1622254104
Puerto Ayora,EC,-0.7393,-90.3518,74.55,91,59,4.0,1622254104
Nekhayevskiy,RU,50.4106,41.7561,60.49,74,75,4.14,1622254105
Faanui,PF,-16.4833,-151.75,80.42,70,15,2.24,1622254105
Hofn,IS,64.2539,-15.2082,46.44,97,100,10.16,1622254105
Mataura,NZ,-46.1927,168.8643,49.48,95,100,4.18,1622254105
Vraneštica,MK,41.4453,21.0267,46.8,93,36,3.09,1622254106
Naze,JP,28.3667,129.4833,72.77,72,100,2.42,1622254106
Carnarvon,AU,-24.8667,113.6333,69.87,94,75,8.05,1622254106
Garissa,KE,-0.4536,39.6401,73.8,78,50,12.57,1622254106
Vestmannaeyjar,IS,63.4427,-20.2734,46.99,93,99,40.87,1622254107
Qiongshan,CN,20.0058,110.3542,89.58,70,20,5.84,1622254107
